i,x,y
0,7.987928006123429,5.59483265206919
1,8.8658681948839426,12.363912174963735
2,3.4359719050208555,7.8245444891253166
3,13.499713211511402,1.2579498567656087
4,6.447825105870848,1.0964821219470235
5,18.34648479668471,16.556015247020323
6,2.148295013712799,13.549665360638878
7,16.266294123190029,13.019800303462233
8,13.032894971334121,8.0744935792252672
9,2.3762260520944314,5.2061320551521497
10,10.862499102642234,15.085689008423069
11,14.002734298296607,13.750873828233527
12,8.6900956137053935,16.125206880666646
13,15.589402073235593,4.3317253050447038
14,6.1797152954028185,8.7412939853980465
15,8.1784810391270018,10.304664984441503
16,4.5687966531447692,3.5533522066868781
17,11.624873185913264,18.613722484678384
18,2.7404281718579839,9.7917504731168084
19,6.5316242868134315,16.3130592723546
