# prefix=out/smoke_erms method=erms run_id=0 seed=42 L=2.6343147564173104 best_feas=1.3200788751231519e-07 N=10
i,cx,cy,theta_rad
0,0.76263748507551476,1.0668554791652616,3.317458341518658
1,0.59089215684611951,-0.52348689055302866,4.006302656993034
2,0.47581023814085566,0.39334889992503796,4.1417730857000032
3,-0.96827628637842056,0.18862360973667952,2.6978143739154135
4,-1.0471648460181162,-0.91552822973645709,4.6994957336827419
5,-0.38247744910263104,0.98145975165630883,4.229679684320427
6,-0.24508183229502334,0.063301426985874903,4.4286225409801361
7,0.12700534633609917,-0.95946150260669238,0.34689481249983611
8,-0.53400275380293039,-0.58388341008031452,0.077203515549379986
9,-0.70760481463408909,0.47477647025411435,0.2595959993792471
