# prefix=DEMO_N10_job5048369_task10 run_id=10 seed=12345 L=2.3585430893569725 best_feas=0 N=10
i,cx,cy,theta_rad
0,0.94803722112148292,0.78681753339512384,1.5696649947690975
1,0.0081238462027604375,0.56731946320451065,1.181449059989607
2,0.21966679850438325,-0.84055191190024714,4.2877281399494729
3,0.83712537527648889,-0.74466492786910798,5.8730396981477941
4,-0.89148014632318118,0.49321199861118414,3.8825297395866434
5,0.60371255882394093,0.35211753807509649,2.9801514247062166
6,-0.45396255713758299,-0.87782031297494889,5.3240304309935844
7,-0.84023851930610771,-0.96032517823887287,0.41036287430140261
8,-0.49405538268132992,-0.38608865569686657,0.80455765651309274
9,0.12405319260343911,-0.16451740648860844,0.90104555080253279
