# prefix=out/N010/graph_erms_1h/N010_erms_s1000_r0 method=erms run_id=0 seed=1000 L=2.5039152576683241 best_feas=0 N=10
i,cx,cy,theta_rad
0,-0.31195491473774145,0.014612639413479706,1.1889279090305571
1,-0.8052306456917846,0.99681303524057963,2.6622230210245745
2,1.0177265430121989,-0.71269887311373403,1.5832628085381466
3,0.20737491010674677,0.22660134114690436,3.1568124665491326
4,-0.71923197094895708,-0.78093136056645229,0.25176900390716433
5,1.0338218653077884,0.64040392752137631,1.8285533430515646
6,0.17708390602658741,0.91337187925998231,4.9862014111693513
7,1.0098028238291954,0.0023518585805055447,2.055318674508261
8,0.0023580876292879915,-0.88692992106600976,4.3617729927455064
9,-0.12502507449308486,0.50033558638629694,0.53696517856513326
