# L=10 best_feas=-3.6914915568786455e-15 N=25
i,x,y,r
0,-3.5335182055960543,-4.3882675429816747,0.45000000000000001
1,2.6383204680924202,1.2996617888246149,0.45000000000000001
2,-2.040597410506205,2.5051410613774063,0.45000000000000001
3,2.1236953181468294,3.0565023704828564,0.45000000000000001
4,-4.3025842022942555,-2.9717539379083262,0.45000000000000001
5,-2.0610587820373487,-1.7687301140532878,0.45000000000000001
6,-3.7912711400273,2.765047118486649,0.45000000000000001
7,1.2340866610989563,-4.5064391913669093,0.45000000000000001
8,1.3123766414791362,2.1351447785267155,0.45000000000000001
9,-1.8762960733059828,3.7971356965722527,0.45000000000000001
10,-3.3671061208834576,1.5566594324494751,0.45000000000000001
11,3.3516395894011568,-0.85807027883066289,0.45000000000000001
12,-0.79131208422016286,-3.9147899849003904,0.45000000000000001
13,3.4838230755837394,3.5746668926835627,0.45000000000000001
14,3.4688460599767748,2.159643978644624,0.45000000000000001
15,-0.64930562157748684,1.7263412430024518,0.45000000000000001
16,-3.5549308608110195,3.828097500902838,0.45000000000000001
17,-0.67029580952479206,-0.66819025461662318,0.45000000000000001
18,0.39249804409269373,2.4779138850129065,0.45000000000000001
19,2.5941546641873154,-2.6120678618947002,0.45000000000000001
20,-3.9027894563651135,-0.57984594794440369,0.45000000000000001
21,1.3123148404778042,0.53054510075561212,0.45000000000000001
22,2.1681876663113293,-0.30755450715759447,0.45000000000000001
23,-3.2035571346818159,-2.0167461935686717,0.45000000000000001
24,4.4632824431645552,1.6182954938473206,0.45000000000000001
