N,path,prefix,run_id,seed,L,best_feas,density,area_gap,area_gap_frac,boundary_fraction,nn_mean,nn_std,orient_entropy
6,out/g3_n6_erms_N006_s42_best_state.csv,out/g3_n6,1,42,1.7830346733825384,2.499374785175784e-07,0.4635581711181529,1.7054626464843756,0.5364418288818471,1.0,0.5071768915599651,0.09084786524816608,1.7917594692280547
10,out/smoke_ms_ms_N010_s42_best_state.csv,out/smoke_ms,0,42,2.5259546095695615,0.0,0.38496521003794887,3.924196689605716,0.6150347899620512,1.0,0.5722621777168021,0.09912392066847786,2.163955656882057
