i,x,y
0,17.689477602332708,12.46109024217016
1,13.992070815558739,10.423305008426237
2,4.0336420627015785,14.876596291540626
3,2.150801167739758,5.6108800366218325
4,3.3497732353917353,18.035724825103891
5,7.2308618362520285,8.2241359094615145
6,7.9685541807891536,18.27321781073573
7,11.455738883177597,12.967561436831227
8,15.557836045691131,12.780316622251682
9,11.713027833652848,4.3441417257364305
10,13.252971898680034,2.5912419282595245
11,8.0476318674767313,1.2902593926022028
12,6.4515085952997078,15.815187438859079
13,1.9128298863625366,14.78559067306767
14,8.2103073351152887,13.448788496393627
15,15.108208291497371,5.5854436870485946
16,6.0218172911239227,12.417304033942219
17,8.7494147826238411,15.609078224315585
18,7.4287525039761304,5.3705261253979062
19,1.0663621126476854,3.6092606256295618
