step,E,T,E_pair,E_wall,accepted,moved
0,4.2919659368952754,1,4.2919659368952754,0,1,6
1,4.7694922783326881,0.999,4.7694922783326881,0,1,12
2,4.7694922783326881,0.99800100000000003,4.7694922783326881,0,1,0
3,4.9666167972165978,0.997002999,4.9666167972165978,0,1,18
4,4.9666167972165978,0.99600599600100004,4.9666167972165978,0,1,16
5,4.9666167972165978,0.99500999000499901,4.9666167972165978,0,0,8
6,4.9666167972165978,0.994014980014994,4.9666167972165978,0,1,17
7,4.9666167972165978,0.99302096503497905,4.9666167972165978,0,1,6
8,4.9666167972165978,0.9920279440699441,4.9666167972165978,0,1,5
9,4.9666167972165978,0.99103591612587416,4.9666167972165978,0,1,10
10,4.9666167972165978,0.99004488020974823,4.9666167972165978,0,1,0
11,4.9666167972165978,0.98905483532953853,4.9666167972165978,0,1,1
12,4.9666167972165978,0.98806578049420901,4.9666167972165978,0,1,11
13,4.9666167972165978,0.98707771471371475,4.9666167972165978,0,1,16
14,5.0695238127532942,0.98609063699900101,5.0695238127532951,0,1,3
15,4.5227858021206675,0.98510454636200206,4.5227858021206684,0,1,12
16,4.4362714101789233,0.98411944181564004,4.4127214880812282,0.023549922097695859,1,4
17,4.4362714101789233,0.98313532237382439,4.4127214880812282,0.023549922097695859,1,17
18,4.4974004910180136,0.98215218705145058,4.4738505689203185,0.023549922097695859,1,8
19,4.4974004910180136,0.98117003486439913,4.4738505689203185,0.023549922097695859,1,6
20,4.6991398307692274,0.98018886482953471,4.6755899086715322,0.023549922097695859,1,8
21,4.6582191688879231,0.97920867596470518,4.634669246790228,0.023549922097695859,1,15
22,4.6582191688879231,0.9782294672887405,4.634669246790228,0.023549922097695859,1,16
23,3.9986461703004572,0.97725123782145173,3.9750962482027616,0.023549922097695859,1,8
24,3.9986461703004572,0.97627398658363029,3.9750962482027616,0.023549922097695859,1,0
25,3.2819515385884483,0.97529771259704667,3.2584016164907532,0.023549922097695859,1,19
26,3.2819515385884483,0.97432241488444959,3.2584016164907532,0.023549922097695859,1,7
27,3.2819515385884483,0.97334809246956511,3.2584016164907532,0.023549922097695859,0,2
28,3.2090659644674822,0.97237474437709559,3.1855160423697866,0.023549922097695859,1,15
29,3.2090659644674822,0.97140236963271853,3.1855160423697866,0.023549922097695859,0,18
30,3.2247122925141052,0.97043096726308586,3.1855160423697866,0.039196250144318857,1,16
31,3.234608426388387,0.96946053629582274,3.1954121762440688,0.039196250144318857,1,12
32,3.2380268026187737,0.96849107575952686,3.1988305524744556,0.039196250144318857,1,8
33,3.2380268026187737,0.96752258468376728,3.1988305524744556,0.039196250144318857,1,9
34,3.294697081051174,0.96655506209908348,3.2555008309068558,0.039196250144318857,1,1
35,3.2728100954774133,0.9655885070369844,3.2336138453330951,0.039196250144318857,1,18
36,3.2728100954774133,0.96462291852994742,3.2336138453330951,0.039196250144318857,1,17
37,3.2683133556205961,0.96365829561141747,3.2291171054762779,0.039196250144318857,1,12
38,3.2683133556205961,0.96269463731580607,3.2291171054762779,0.039196250144318857,1,7
39,3.5536059980117645,0.96173194267849027,3.5379596699651419,0.015646328046622998,1,4
40,3.5536059980117645,0.96077021073581181,3.5379596699651419,0.015646328046622998,1,9
41,3.5536059980117645,0.959809440525076,3.5379596699651419,0.015646328046622998,1,11
42,3.5536059980117645,0.9588496310845509,3.5379596699651419,0.015646328046622998,1,13
43,4.304628140907198,0.9578907814534664,4.288981812860575,0.015646328046622998,1,19
44,4.5258963136007244,0.95693289067201293,4.5102499855541023,0.015646328046622998,1,12
45,4.5682420801385462,0.95597595778134092,4.552595752091924,0.015646328046622998,1,1
46,4.5682420801385462,0.95501998182355963,4.552595752091924,0.015646328046622998,1,0
47,4.5682420801385462,0.95406496184173606,4.552595752091924,0.015646328046622998,1,17
48,4.5035431144933877,0.95311089687989436,4.4878967864467656,0.015646328046622998,1,1
49,5.1822747488475223,0.95215778598301448,5.1666284208009001,0.015646328046622998,1,2
50,5.1822747488475223,0.95120562819703147,5.1666284208009001,0.015646328046622998,1,17
51,4.8964827071921428,0.95025442256883441,4.8808363791455207,0.015646328046622998,1,1
52,4.8995288050044188,0.94930416814626561,4.8838824769577958,0.015646328046622998,1,15
53,4.8995288050044188,0.9483548639781193,4.8838824769577958,0.015646328046622998,1,6
54,4.8995288050044188,0.94740650911414115,4.8838824769577958,0.015646328046622998,1,0
55,4.8995288050044188,0.94645910260502697,4.8838824769577958,0.015646328046622998,1,0
56,4.8995288050044188,0.94551264350242192,4.8838824769577958,0.015646328046622998,1,10
57,4.8995288050044188,0.94456713085891952,4.8838824769577958,0.015646328046622998,1,9
58,4.8995288050044188,0.94362256372806064,4.8838824769577958,0.015646328046622998,0,16
59,4.8838824769577958,0.9426789411643326,4.8838824769577958,0,1,16
60,4.8838824769577958,0.94173626222316831,4.8838824769577958,0,0,3
61,4.9097210168082084,0.94079452596094515,4.8838824769577958,0.025838539850412501,1,9
62,4.6519710183648684,0.93985373143498419,4.6261324785144557,0.025838539850412501,1,3
63,3.8949326548056264,0.93891387770354917,3.8690941149552138,0.025838539850412501,1,14
64,3.8949326548056264,0.93797496382584566,3.8690941149552138,0.025838539850412501,0,1
65,3.8949326548056264,0.9370369888620198,3.8690941149552138,0.025838539850412501,1,16
66,3.9811270035164621,0.93609995187315775,3.9552884636660495,0.025838539850412501,1,3
67,3.9811270035164621,0.93516385192128459,3.9552884636660495,0.025838539850412501,1,10
68,3.9811270035164621,0.93422868806936332,3.9552884636660495,0.025838539850412501,1,16
