# prefix=N10_job5489985_node_02_i12n4_w001 run_id=17 seed=12362 L=2.7875408144948977 best_feas=0.0010275069667537097 N=10
i,cx,cy,theta_rad
0,-1.0444567002219651,-0.26406990098868899,5.4579736392567657
1,-0.13381756890798696,-0.41620056419798396,4.0629999888910691
2,-1.049050038570029,-1.0500839710144814,0.36563064461086181
3,0.66008888544085209,0.60821843023917088,5.6726921630262677
4,0.92286739242976956,-0.95770064375023634,1.8973612176367924
5,-0.26912674353318194,-0.94539951702877401,0.7931251550693228
6,0.43901373359593909,-0.029255378394075521,1.5790583229681057
7,1.02880441939602,0.055850183811955958,3.1274327119874163
8,-0.38220327376731339,0.86307495555896685,3.3890569205780716
9,-1.1050788384065247,0.5374494248428231,4.4024840129883769
