# prefix=N10_20260424_200952_job5490040_node_02_i9n16_w001 run_id=17 seed=12362 L=3.3464999999999998 best_feas=0 N=10
i,cx,cy,theta_rad
0,-1.378119208141755,0.087516821658443211,5.5295420672620619
1,1.3456093656843167,0.85023915416620799,3.5125242298489923
2,0.93252980291165,0.9515922861116195,0.83385007051687199
3,0.46711897906663374,-1.2125103138754898,4.1104031439742927
4,0.95343907818929519,0.039297290115378414,3.6461597403556225
5,-0.57488768945525637,-1.0283794824069459,5.2711982020502228
6,-1.1795336842372168,1.3593078762739474,3.7176390274759799
7,1.0701711369976414,-0.8507519587492367,3.2606538978665442
8,-0.15501074657600153,0.10475188058061916,4.3149325064823776
9,-0.33151826374470528,0.86593528015660004,6.2708760252952702
