# prefix=N10_job5489985_node_02_i12n4_w001 run_id=17 seed=12362 L=3.4499999999999997 best_feas=0 N=10
i,cx,cy,theta_rad
0,-0.54007879933856762,0.58902177307112003,1.3137157881826218
1,0.87475301148390239,0.8250291560342089,3.5052111690003205
2,0.49561280401983654,-0.24719353033437552,0.15148354688545662
3,-0.32532919399068594,-0.11526803449803791,3.9608386725846416
4,-0.31951471992263492,-0.81451302329312192,3.2668048580186371
5,-1.293118438995118,1.3502500179778565,4.9165906728599449
6,-0.89369688412138881,-0.84337786092152367,1.0192660961613385
7,1.3321468846131925,1.470283829523231,3.1374909532532049
8,0.15824141799089575,-1.3950436138180238,5.2173710043219987
9,0.19050025630461698,1.1713311552751013,4.8405380223631544
