# prefix=N10_20260424_193109_job5489989_node_00_i12n0_w001 run_id=1 seed=12346 L=3.4499999999999997 best_feas=0 N=10
i,cx,cy,theta_rad
0,-0.90961627609705875,0.93856183939860793,0.86946161209054362
1,-1.0437683991084752,-0.47995310968074101,2.1973559531430178
2,0.3905114590554517,0.94211668438214091,1.7481607369012528
3,1.2696989073678915,1.3596574597956586,1.4345939029221642
4,1.0491867287502101,-0.29392675315326489,5.3143562902625403
5,-0.52847054114314895,0.0049722678824403732,5.9911363000547491
6,0.60606049620663116,-1.1820168375510907,4.1879964443723132
7,0.91907091677525332,0.78906238393750816,2.8301381927761273
8,-0.37419407482353617,-0.39281991013010531,2.8411050999659055
9,0.26503445446909302,-1.487226184821433,0.74320721415141089
