N,path,prefix,run_id,seed,L,best_feas,density,area_gap,area_gap_frac,boundary_fraction,nn_mean,nn_std,orient_entropy
33,csv/N33_job5048430_task33_best_polys_N033.csv,N33_job5048430_task33,33,12345,4.447683507116102,0.0,0.4097498056081007,11.676263579472586,0.5902501943918993,0.9393939393939394,0.5849183633939381,0.13555188726398645,2.876670672278372
34,csv/N34_job5048431_task34_best_polys_N034.csv,N34_job5048431_task34,34,12345,4.447609244191589,0.0,0.42218056455525343,11.429977989018475,0.5778194354447466,0.8823529411764706,0.5518142704074108,0.09767800396955818,2.9909112080063878
35,csv/N35_job5048432_task35_best_polys_N035.csv,N35_job5048432_task35,35,12345,4.538940915847819,0.0,0.4172838273225331,12.00510963755744,0.5827161726774669,0.8571428571428571,0.559435755008713,0.1156053862322845,3.0501472437474773
36,csv/N36_job5048433_task36_best_polys_N036.csv,N36_job5048433_task36,36,12345,4.650202541245497,0.0,0.40891338837943,12.781883674606076,0.59108661162057,0.8888888888888888,0.5745608548115588,0.11626649095115661,3.0153351233670116
37,csv/N37_job5048434_task37_best_polys_N037.csv,N37_job5048434_task37,37,12345,4.721224921263583,0.0,0.4077227173309268,13.201839757160327,0.5922772826690732,0.8918918918918919,0.5802350302762803,0.14120069312535577,3.1563508206546995
38,csv/N38_job5048435_task38_best_polys_N038.csv,N38_job5048435_task38,38,12345,4.767397241151714,0.0,0.410670477042103,13.394326454940973,0.589329522957897,0.868421052631579,0.5387227754030632,0.13985231987330873,3.1495578745073556
39,csv/N39_job5048436_task39_best_polys_N039.csv,N39_job5048436_task39,39,12345,4.77571801505743,0.0,0.42001018635331105,13.228107559344082,0.579989813646689,0.8461538461538461,0.5401334576879746,0.11836861554411801,3.1303715072373812
40,csv/N40_job5048437_task40_best_polys_N040.csv,N40_job5048437_task40,40,12345,4.908072623522818,0.0,0.4078595150781188,14.264176877774158,0.5921404849218812,0.9,0.5667574204204693,0.12783542130731076,3.0951180988836393
41,csv/N41_job5048440_task41_best_polys_N041.csv,N41_job5048440_task41,41,12345,5.0025963889935925,0.0,0.4024069694805874,14.955345631171731,0.5975930305194126,0.8536585365853658,0.6169926512809816,0.11391536372250996,3.0073322232872193
42,csv/N42_job5048441_task42_best_polys_N042.csv,N42_job5048441_task42,42,12345,5.028582094216999,0.0,0.40797238643027495,14.970387878279816,0.5920276135697251,0.8571428571428571,0.543779374201411,0.10983275905278195,3.217647911037476
43,csv/N43_job5048442_task43_best_polys_N043.csv,N43_job5048442_task43,43,12345,5.117581596343707,0.0,0.4032844451975323,15.627766395235808,0.5967155548024676,0.8837209302325582,0.5983544131964867,0.14419494621768084,3.1522874445805185
44,csv/N44_job5048443_task44_best_polys_N044.csv,N44_job5048443_task44,44,12345,5.092731235967817,0.0,0.41670021985735867,15.128411441802294,0.5832997801426414,0.8636363636363636,0.5490034320617598,0.09701699767604313,3.256298586976276
45,csv/N45_job5048444_task45_best_polys_N045.csv,N45_job5048444_task45,45,12345,5.190397990349929,0.0,0.4102832257689927,15.887106298228582,0.5897167742310073,0.8444444444444444,0.5405413677488863,0.1408382674409589,3.1364696481915018
46,csv/N46_job5048445_task46_best_polys_N046.csv,N46_job5048445_task46,46,12345,5.371727163234547,0.0,0.39156377517668217,17.55670271623187,0.6084362248233178,0.8478260869565217,0.5429397138814425,0.12376112441335958,3.0410956691132056
47,csv/N47_job5048446_task47_best_polys_N047.csv,N47_job5048446_task47,47,12345,5.3535266982903025,0.0,0.4028009442197084,17.115873109307067,0.5971990557802915,0.7872340425531915,0.525855709853173,0.10180737612459746,3.0609954809303512
48,csv/N48_job5048447_task48_best_polys_N048.csv,N48_job5048447_task48,48,12345,5.4057927440450815,1.220167471367911e-11,0.40345492666581995,17.432595191570453,0.59654507333418,0.8541666666666666,0.571221983871932,0.14021096856349727,3.24289522192775
49,csv/N49_job5048448_task49_best_polys_N049.csv,N49_job5048448_task49,49,12345,5.451604258003586,0.0,0.4049673438882158,17.684363985882833,0.5950326561117842,0.8367346938775511,0.5824978050358622,0.10813397182874308,3.191461911286005
50,csv/N50_job5048449_task50_best_polys_N050.csv,N50_job5048449_task50,50,12345,5.568853712479338,0.0,0.39601437689903907,18.7308816709949,0.6039856231009609,0.78,0.5450554579539922,0.11575927505597988,3.2760701300004973
51,csv/N51_job5048451_task51_best_polys_N051.csv,N51_job5048451_task51,51,12345,5.613810989072337,0.0,0.3974908822779748,18.98799882102933,0.6025091177220252,0.803921568627451,0.5411142292661557,0.14750844792383166,3.1777366332648542
52,csv/N52_job5048452_task52_best_polys_N052.csv,N52_job5048452_task52,52,12345,5.664615260989371,0.0,0.39804766007480746,19.315366055033678,0.6019523399251925,0.8076923076923077,0.568630099609898,0.13373677558479238,3.1330090919131446
53,csv/N53_job5048453_task53_best_polys_N053.csv,N53_job5048453_task53,53,12345,5.785004612861075,0.0,0.3889923120746307,20.448153370823917,0.6110076879253693,0.7924528301886793,0.5708621057316381,0.11713672153082799,3.260605162223616
54,csv/N54_job5048454_task54_best_polys_N054.csv,N54_job5048454_task54,54,12345,5.6677000363767505,0.0,0.4129073497057397,18.859073702345018,0.5870926502942603,0.8148148148148148,0.5526297889735857,0.10156555489034541,3.1274352761950777
55,csv/N55_job5048455_task55_best_polys_N055.csv,N55_job5048455_task55,55,12345,5.744176974672471,0.0,0.40942997383557167,19.48619411635738,0.5905700261644283,0.7636363636363637,0.5709777987404241,0.1263283428243079,3.252756743428441
56,csv/N56_job5048456_task56_best_polys_N056.csv,N56_job5048456_task56,56,12345,5.876410252928021,0.0,0.39832391250649873,20.777197460717563,0.6016760874935012,0.7678571428571429,0.5458655899655929,0.11344431037932641,3.325652721954712
57,csv/N57_job5048457_task57_best_polys_N057.csv,N57_job5048457_task57,57,12345,5.9805335256777905,0.0,0.3914421289814168,21.766156251756023,0.6085578710185833,0.7368421052631579,0.5516266707956035,0.1376292446651531,3.2176673775941786
58,csv/N58_job5048458_task58_best_polys_N058.csv,N58_job5048458_task58,58,12345,6.077022046065262,0.0,0.3857615495503445,22.683946948363225,0.6142384504496555,0.7068965517241379,0.61875405278414,0.13054691961330422,3.1983236909582335
59,csv/N59_job5048459_task59_best_polys_N059.csv,N59_job5048459_task59,59,12345,6.146879804648894,0.0,0.38354395056370116,23.292256332800427,0.6164560494362988,0.7288135593220338,0.5899822409790734,0.11519071553845885,3.2343128846362443
60,csv/N60_job5048460_task60_best_polys_N060.csv,N60_job5048460_task60,60,12345,6.259058176475843,0.0,0.3761887828150313,24.438309256509115,0.6238112171849687,0.7166666666666667,0.5795991826130563,0.12514723427538949,3.3257676612670357
61,csv/N61_job5048461_task61_best_polys_N061.csv,N61_job5048461_task61,61,12345,6.26139023004441,0.0,0.38217375565746975,24.221882612895584,0.6178262443425302,0.7868852459016393,0.5792280828095429,0.12177753752372134,3.2468363594304823
62,csv/N62_job5048462_task62_best_polys_N062.csv,N62_job5048462_task62,62,12345,6.2348847816147615,0.0,0.39174854547171734,23.645038240011353,0.6082514545282827,0.7741935483870968,0.5722162392977261,0.1215534419738373,3.3078320417478633
63,csv/N63_job5048463_task63_best_polys_N063.csv,N63_job5048463_task63,63,12345,6.273921115902097,0.0,0.39312893462336607,23.887711168562223,0.6068710653766339,0.746031746031746,0.5677608357947799,0.1276546252530375,3.1430899973445756
64,csv/N64_job5048464_task64_best_polys_N064.csv,N64_job5048464_task64,64,12345,6.338772263497864,0.0,0.39123909339962887,24.460033808489833,0.6087609066003712,0.765625,0.569409443613637,0.10869444586766688,3.341359917990423
65,csv/N65_job5048465_task65_best_polys_N065.csv,N65_job5048465_task65,65,12345,6.48027450706143,0.0,0.38018862425514555,26.02833268687026,0.6198113757448545,0.7230769230769231,0.5731020267126025,0.13539064153262148,3.2303280079014427
66,csv/N66_job5048466_task66_best_polys_N066.csv,N66_job5048466_task66,66,12345,6.486757936872987,0.0,0.38526638641901867,25.866778531584693,0.6147336135809813,0.7424242424242424,0.5549263997418535,0.10951238138954773,3.2151109416925427
67,csv/N67_job5048467_task67_best_polys_N067.csv,N67_job5048467_task67,67,12345,6.450059855382305,0.0,0.3955668425648367,25.146397138014404,0.6044331574351633,0.7313432835820896,0.5869749347092402,0.121381106426255,3.3549255695146347
68,csv/N68_job5048468_task68_best_polys_N068.csv,N68_job5048468_task68,68,12345,6.719441789916225,0.0,0.36992619752127187,28.448397968072555,0.6300738024787281,0.7058823529411765,0.5796531042713593,0.1574353588495041,3.29799270728835
69,csv/N69_job5048469_task69_best_polys_N069.csv,N69_job5048469_task69,69,12345,6.659283609235116,0.0,0.3821788382648,27.397933188227476,0.6178211617352001,0.6811594202898551,0.5636749779731223,0.11381311475249564,3.2129827672157774
70,csv/N70_job5048470_task70_best_polys_N070.csv,N70_job5048470_task70,70,12345,6.528693476391952,4.718073940742046e-11,0.4033834258380433,25.43008850868284,0.5966165741619567,0.7142857142857143,0.5440682786917582,0.11807290864694948,3.173668176160422
71,csv/N71_job5048472_task71_best_polys_N071.csv,N71_job5048472_task71,71,12345,6.815338043036972,0.0,0.3754534615506426,29.009457640867026,0.6245465384493574,0.676056338028169,0.5666898750082977,0.10744267168263177,3.3388495026466067
72,csv/N72_job5048473_task72_best_polys_N072.csv,N72_job5048473_task72,72,12345,6.728300544400137,0.0,0.39065582013128347,27.585028215775186,0.6093441798687165,0.7083333333333334,0.596795528021045,0.15667698229594024,3.406346398788729
73,csv/N73_job5048474_task73_best_polys_N073.csv,N73_job5048474_task73,73,12345,6.680809723915569,0.0,0.4017327357429465,26.702593567164826,0.5982672642570535,0.7123287671232876,0.577419197427096,0.11288936539018328,3.34332978378888
74,csv/N74_job5048475_task74_best_polys_N074.csv,N74_job5048475_task74,74,12345,7.102176982131047,0.0,0.36034732835860406,32.26466788551207,0.6396526716413959,0.6621621621621622,0.5923372308433161,0.13149143136773733,3.2651885997911805
75,csv/N75_job5048476_task75_best_polys_N075.csv,N75_job5048476_task75,75,12345,6.910551336429591,0.0,0.38575222166895073,29.3338447734288,0.6142477783310493,0.6533333333333333,0.5804315019806706,0.1405329720191654,3.3101722648819196
76,csv/N76_job5048477_task76_best_polys_N076.csv,N76_job5048477_task76,76,12345,7.041156969810309,0.0,0.37652871966075613,30.910391473508298,0.6234712803392439,0.618421052631579,0.5737711895293256,0.14138883236131514,3.3260805459600595
77,csv/N77_job5048478_task77_best_polys_N077.csv,N77_job5048478_task77,77,12345,6.9466427251317615,0.0,0.3919343851706354,29.342720150626025,0.6080656148293646,0.6883116883116883,0.5455959310763333,0.1351424178787054,3.3815564242054057
78,csv/N78_job5048479_task78_best_polys_N078.csv,N78_job5048479_task78,78,12345,6.963685418159793,0.0,0.39508349120303576,29.33416460309133,0.6049165087969642,0.7051282051282052,0.5739711595929865,0.11217270861350268,3.3478860380784825
79,csv/N79_job5048480_task79_best_polys_N079.csv,N79_job5048480_task79,79,12345,7.347017944479067,0.0,0.35948225545102674,34.57429767649741,0.6405177445489733,0.620253164556962,0.5965393275333521,0.14631874451539806,3.4174365793595727
80,csv/N80_job5048481_task80_best_polys_N080.csv,N80_job5048481_task80,80,12345,7.45094226081501,0.0,0.3539485673428827,35.866540573999096,0.6460514326571173,0.6125,0.6005007707172455,0.11819067955534471,3.313208875722205
81,csv/N81_job5048482_task81_best_polys_N081.csv,N81_job5048482_task81,81,12345,7.351526573166986,0.0,0.36813111295547135,34.14931795598032,0.6318688870445286,0.6790123456790124,0.5917571765429557,0.14004276291850157,3.3921011345569143
82,csv/N82_job5048483_task82_best_polys_N082.csv,N82_job5048483_task82,82,12345,7.482710077913329,0.0,0.35972331172077654,35.8497001101057,0.6402766882792235,0.6097560975609756,0.6158571336113106,0.1342327420261251,3.382564571448029
83,csv/N83_job5048484_task83_best_polys_N083.csv,N83_job5048484_task83,83,12345,7.175170728949333,0.0,0.39599178961493026,31.096199989571307,0.6040082103850697,0.6746987951807228,0.5785340872344752,0.10999686362322966,3.3298176309440044
84,csv/N84_job5048485_task84_best_polys_N084.csv,N84_job5048485_task84,84,12345,7.629823716458013,0.0,0.3544237741913517,37.58170994422517,0.6455762258086484,0.6428571428571429,0.60547116579126,0.11503606519892183,3.4209855539748295
85,csv/N85_job5048486_task85_best_polys_N085.csv,N85_job5048486_task85,85,12345,7.339245371199397,0.0,0.3876043819752101,32.986397618671774,0.6123956180247899,0.6352941176470588,0.5784421481578916,0.12077131648951517,3.296891252332591
86,csv/N86_job5048487_task86_best_polys_N086.csv,N86_job5048487_task86,86,12345,7.604198746695574,0.0,0.36531213629220194,36.70008857924654,0.6346878637077981,0.6046511627906976,0.6010697382964278,0.13137367251611395,3.2906837783317475
87,csv/N87_job5048488_task87_best_polys_N087.csv,N87_job5048488_task87,87,12345,7.795049510169802,0.0,0.3516851774800023,39.39342186599848,0.6483148225199977,0.6666666666666666,0.5912599242815639,0.13716577038046018,3.4248465422299965
88,csv/N88_job5048489_task88_best_polys_N088.csv,N88_job5048489_task88,88,12345,7.552997366451209,0.0,0.37889299259968817,35.43276921761891,0.6211070074003118,0.6363636363636364,0.5717198056600418,0.12912105778315955,3.3752847598103206
89,csv/N89_job5048490_task89_best_polys_N089.csv,N89_job5048490_task89,89,12345,7.724649888454746,0.0,0.36635739741460616,37.80959089920392,0.6336426025853938,0.6067415730337079,0.5883239683396131,0.12821488707356413,3.2654919166523895
90,csv/N90_job5048491_task90_best_polys_N090.csv,N90_job5048491_task90,90,12345,7.625875364234148,0.0,0.38013308588233075,36.04772507083331,0.6198669141176693,0.6777777777777778,0.5724309419619311,0.11509924981373641,3.436881804566976
91,csv/N91_job5048492_task91_best_polys_N091.csv,N91_job5048492_task91,91,12345,8.044888539200363,0.0,0.3453614803996277,42.36835660815735,0.6546385196003723,0.6153846153846154,0.6013869173044162,0.13870403808600534,3.2909796227057124
92,csv/N92_job5048493_task92_best_polys_N092.csv,N92_job5048493_task92,92,12345,8.047573918004588,0.0,0.3489236816081626,42.16594596574771,0.6510763183918373,0.6086956521739131,0.6132044761856557,0.12804245815085497,3.4449019098117337
93,csv/N93_job5048494_task93_best_polys_N093.csv,N93_job5048494_task93,93,12345,7.946364038950673,0.0,0.3617583816098344,40.30157643952846,0.6382416183901656,0.6344086021505376,0.5841262119867532,0.13334919937272516,3.4049497902551114
94,csv/N94_job5048495_task94_best_polys_N094.csv,N94_job5048495_task94,94,12345,8.030439586351628,0.0,0.3580319491868884,41.39920995004331,0.6419680508131116,0.6170212765957447,0.5905533275119438,0.11747254420559201,3.382949837002213
95,csv/N95_job5048496_task95_best_polys_N095.csv,N95_job5048496_task95,95,12345,7.947106253490732,0.0,0.3694691094543531,39.8221228042715,0.6305308905456469,0.6210526315789474,0.6179948908029479,0.1212247744674826,3.3908682465158155
96,csv/N96_job5048497_task96_best_polys_N096.csv,N96_job5048497_task96,96,12345,8.073845574593387,0.0,0.3617286633842985,41.60698236238122,0.6382713366157016,0.5729166666666666,0.6125239644265261,0.14726477633933868,3.335079829994348
97,csv/N97_job5048498_task97_best_polys_N097.csv,N97_job5048498_task97,97,12345,8.203514575070134,0.0,0.35403352881169287,43.47202638338811,0.6459664711883071,0.5979381443298969,0.5996834592286583,0.11686262193622504,3.4558969334059015
98,csv/N98_job5048499_task98_best_polys_N098.csv,N98_job5048499_task98,98,12345,8.375190705683867,0.0,0.34316993600868406,46.07256935657343,0.6568300639913159,0.5612244897959183,0.6029440314152795,0.10209563148257257,3.4608457615808654
99,csv/N99_job5048500_task99_best_polys_N099.csv,N99_job5048500_task99,99,12345,8.430909093769674,0.0,0.34210462788007623,46.763353147408196,0.6578953721199238,0.5454545454545454,0.6096675239077403,0.15767995465231735,3.331053288088517
100,csv/N100_job5048501_task100_best_polys_N100.csv,N100_job5048501_task100,100,12345,8.44332018794036,0.0,0.3445450777635848,46.727155796081234,0.6554549222364152,0.57,0.618124529194046,0.13601287411677135,3.4605576430257425
101,csv/N101_job5048502_task101_best_polys_N101.csv,N101_job5048502_task101,101,12345,8.376780309079729,0.0,0.35354092192011805,45.36232334658589,0.646459078079882,0.5445544554455446,0.6124434927392676,0.13012324448723403,3.4190783733855383
102,csv/N102_job5048503_task102_best_polys_N102.csv,N102_job5048503_task102,102,12345,8.219171702493789,0.0,0.3708656694791118,42.50103347507465,0.6291343305208882,0.5980392156862745,0.5847630571528607,0.11766451673786289,3.447889108929288
103,csv/N103_job5048504_task103_best_polys_N103.csv,N103_job5048504_task103,103,12345,8.597697055763534,0.0,0.3422516223762958,48.621019662684944,0.6577483776237042,0.5728155339805825,0.5933544740011768,0.14414490417629738,3.4082481254318275
105,csv/N105_job5048506_task105_best_polys_N105.csv,N105_job5048506_task105,105,12345,8.533484829345976,0.0,0.3541677604954565,47.02973833267793,0.6458322395045435,0.580952380952381,0.6015769358507235,0.12743669016961087,3.413533308407788
106,csv/N106_job5048507_task106_best_polys_N106.csv,N106_job5048507_task106,106,12345,8.647197946933385,0.0,0.3481990898109303,48.73778233344896,0.6518009101890697,0.5943396226415094,0.6108125666995983,0.1508480202168203,3.370144899254081
107,csv/N107_job5048508_task107_best_polys_N107.csv,N107_job5048508_task107,107,12345,8.642706632057001,0.0,0.3518493898780848,48.414502927802076,0.6481506101219152,0.5700934579439252,0.5748815842877997,0.11924169740498124,3.306616007596237
108,csv/N108_job5048509_task108_best_polys_N108.csv,N108_job5048509_task108,108,12345,8.905837975610881,0.0,0.334461970233505,52.78645004783292,0.665538029766495,0.5648148148148148,0.6212207166494799,0.12902916610824644,3.421669978033548
109,csv/N109_job5048510_task109_best_polys_N109.csv,N109_job5048510_task109,109,12345,8.727537132045871,0.0,0.3514921702209627,49.39677939123948,0.6485078297790373,0.6238532110091743,0.6074159125821045,0.11888262610096252,3.415965935209289
111,csv/N111_job5048512_task111_best_polys_N111.csv,N111_job5048512_task111,111,12345,8.768793979540478,1.0508982722061424e-11,0.3545812881142012,49.627372855625325,0.6454187118857988,0.5675675675675675,0.600458209166925,0.12973958889423834,3.3487162033670677
112,csv/N112_job5048513_task112_best_polys_N112.csv,N112_job5048513_task112,112,12345,9.076781092911197,0.0,0.33390803300213373,54.87795500863019,0.6660919669978662,0.5714285714285714,0.5926360080473054,0.13670978013089938,3.469373953353209
113,csv/N113_job5048514_task113_best_polys_N113.csv,N113_job5048514_task113,113,12345,8.791967832535642,0.0,0.35906975907588656,49.54307336834148,0.6409302409241134,0.5309734513274337,0.587622331349767,0.12430004014502136,3.363230830868352
114,csv/N114_job5048515_task114_best_polys_N114.csv,N114_job5048515_task114,114,12345,9.170443866597601,0.0,0.332963559281716,56.09579071041756,0.667036440718284,0.5263157894736842,0.6167579001760716,0.11695361657803807,3.3921135082052603
115,csv/N115_job5048516_task115_best_polys_N115.csv,N115_job5048516_task115,115,12345,9.003402679936665,0.0,0.34846331112712997,52.81438481709071,0.65153668887287,0.5391304347826087,0.5924791907766451,0.13513393584231664,3.45050486148423
116,csv/N116_job5048517_task116_best_polys_N116.csv,N116_job5048517_task116,116,12345,9.22697002053922,0.0,0.33466657402000705,56.64447575992953,0.665333425979993,0.5689655172413793,0.6198426244441445,0.13735412418273615,3.449099411998835
117,csv/N117_job5048518_task117_best_polys_N117.csv,N117_job5048518_task117,117,12345,9.298248963625069,0.0,0.33239622945496194,57.719308789554674,0.667603770545038,0.5299145299145299,0.6159174595783451,0.14151920367250403,3.461303151386117
118,csv/N118_job5048519_task118_best_polys_N118.csv,N118_job5048519_task118,118,12345,9.13890461100585,0.0,0.3470294135982083,54.53582748906399,0.6529705864017916,0.5508474576271186,0.5841071372072871,0.12417487076593739,3.407485099639465
119,csv/N119_job5048520_task119_best_polys_N119.csv,N119_job5048520_task119,119,12345,9.527999136264711,0.0,0.3219705214087941,61.553392540661086,0.6780294785912059,0.5546218487394958,0.6209720960827683,0.14450335210867604,3.341554152979403
120,csv/N120_job5048521_task120_best_polys_N120.csv,N120_job5048521_task120,120,12345,9.170063111997468,0.0,0.35051706330092025,54.615057478016695,0.6494829366990797,0.5666666666666667,0.5892866360926281,0.1209577778469614,3.4456168185794414
121,csv/N121_job5048522_task121_best_polys_N121.csv,N121_job5048522_task121,121,12345,9.354445797474742,0.0,0.33964233054352566,57.785031177892876,0.6603576694564743,0.5702479338842975,0.603949038241641,0.12529609154241378,3.5188695310075295
122,csv/N122_job5048523_task122_best_polys_N122.csv,N122_job5048523_task122,122,12345,9.30942947899549,0.0,0.34576916852846457,56.69922722439024,0.6542308314715355,0.5163934426229508,0.5958333243432343,0.13340412684709074,3.401579622253914
