time,trial,L,N,feas
2026-02-26T00:53:19Z,0,1.7168284713,3,0
2026-02-26T00:53:21Z,1,1.2876213535,3,7.036647858767479e-16
2026-02-26T00:53:25Z,3,1.1803195740,3,2.0490359952686251e-15
time,trial,L,N,feas
2026-02-26T00:56:37Z,0,1.7168284713,3,0
2026-02-26T00:56:39Z,1,1.2876213535,3,7.036647858767479e-16
2026-02-26T00:56:44Z,3,1.1803195740,3,2.0490359952686251e-15
time,trial,L,N,feas
2026-02-26T01:02:30Z,0,1.7168284713,3,0
2026-02-26T01:02:32Z,1,1.2876213535,3,7.036647858767479e-16
2026-02-26T01:02:36Z,3,1.1803195740,3,2.0490359952686251e-15
