# prefix=out/N050/graph_erms_1h/N050_erms_s1000_r0 method=erms run_id=0 seed=1000 L=8.9418523986620357 best_feas=5.5193093851107137e-07 N=50
i,cx,cy,theta_rad
0,3.1599902551359844,-3.5127555335832565,4.4293645218693527
1,1.0075608738348056,-0.98555918806900711,3.6681042989205408
2,1.5523675600358742,0.93050827365254951,4.9493313484855932
3,1.5354550203288289,-4.1039801624308856,5.7225976828043468
4,-1.8706844218729544,-0.11393716890024197,3.506820857827583
5,0.15114612383488818,-2.8886558095587835,5.4938778699248081
6,3.3221487722876213,2.8084515922970468,2.1471082681498208
7,-2.3295302376659697,-1.9546322933775755,4.467412459676714
8,0.18430628601794691,0.41474494346102891,1.1355370025986296
9,-0.54997205359689794,-0.3304838592851112,3.4404843817294011
10,-3.8984276505922488,-2.7901185398782795,5.246175834003882
11,2.6751238654717056,3.8900233581489632,4.4309492798126993
12,-3.7156110390451333,-3.8281433764642285,0.86305124927924037
13,3.8581535258401014,3.393944697784423,6.0470142617066509
14,-0.36847155848923868,1.1354164638498132,1.772860836632546
15,0.68088222048577463,-0.30822593457286446,2.9690199613857775
16,0.20750989390699981,-1.6246545231169662,6.2620862398659414
17,-2.4369640866682349,0.97396883923600464,2.5246415176488832
18,-4.0638805797783357,-0.72972597157549801,5.2609778633274997
19,-3.246383253511739,-4.124224865513578,4.8333107285148698
20,-2.7375330874572024,2.9694759999819222,0.25287486654264146
21,-2.1507443099664911,-3.0832779668346206,3.6196517215370307
22,-0.78129182718215628,2.5011431758248448,2.7275824237149862
23,0.5868530708338342,-1.9031655814778696,4.080282954289606
24,0.84357118507227158,0.68583016786992923,3.0994420344473941
25,-2.8351694999889201,-3.4437595680179225,0.52958989915194632
26,-2.8884933347608239,-2.5776088815519467,4.8139542909073434
27,-0.14865502217791995,2.8905469344481984,0.35082556728384917
28,-1.2748911859242416,3.9782162091189091,3.4060279332400931
29,0.30241813521697142,1.8334404230710317,0.61200082555878232
30,-1.6215002337440254,2.4509860766250671,3.3700923270551897
31,2.2010862785946159,2.6424003540213921,3.137031125749286
32,4.1600376463948097,-0.59517615171113669,2.5697290597527376
33,-3.836837846068442,0.94541685756642191,6.1263282830600234
34,-0.14642984881635063,-4.0982975103985781,4.6668979107255204
35,0.54362626032286909,-3.7285433301247615,0.90555919578530197
36,-2.84214025869408,1.2527359440829631,1.743612390101239
37,-3.5006106511147914,-1.4278020432359284,1.2966678301680523
38,-0.099054522774290388,3.9230756675587588,1.2756880248142535
39,-1.2951201782033013,-0.33385097429533206,5.8713751673381491
40,2.2800969641362689,-1.9744130342450046,5.8328389063507693
41,2.1578449246283471,3.4535964942163271,0.62429694497196486
42,-0.77989758811511145,-2.6846889897606374,0.3603058861013726
43,1.2907601145311565,1.7832556832140698,2.4855132967734939
44,2.8407491144547414,-4.1448403821211057,0.56928509277030948
45,1.1917915031636566,-0.55599089925835421,6.2413060738209669
46,3.8804755531892945,0.84131991056218425,1.7552295983448141
47,2.9944691380084061,-0.38594566492212196,5.554523674251171
48,-4.0882617415095499,3.2163753032790727,5.2260398722989034
49,-2.6897103806818277,-0.69349725240789717,2.9014346387688787
